,Unnamed: 0,customer,content,platform,ecosystem,analytics,culture,overall,name,is_public,industry
105,105,1.35,2.85,1.25,1.05,1.15,1.6,1.5416666666666667,comp_105,False,bank
70,70,1.75,1.75,1.8,1.0,2.35,1.4,1.675,comp_70,False,bank
110,110,1.75,2.85,1.4,1.25,1.25,1.85,1.725,comp_110,False,bank
72,72,1.9,1.75,1.35,1.65,2.55,2.75,1.9916666666666665,comp_72,False,bank
60,60,2.7,2.8,1.5,1.35,1.15,2.8,2.0500000000000003,comp_60,False,bank
64,64,2.85,4.95,1.95,1.85,2.9,1.85,2.725,comp_64,False,bank
85,85,3.6,4.75,1.85,1.95,2.85,2.6,2.933333333333333,comp_85,False,bank
6,6,3.8,4.9,1.9,3.95,1.85,2.75,3.191666666666667,comp_6,False,bank
69,69,3.65,5.0,1.7,1.9,2.9,5.0,3.358333333333333,comp_69,False,bank
78,78,3.95,3.8,5.0,2.95,1.95,2.95,3.433333333333333,comp_78,False,bank
16,16,2.65,5.0,4.85,1.2,2.5,4.7,3.483333333333333,comp_16,False,bank
7,7,2.9,3.75,1.8,4.85,2.85,4.8,3.4916666666666667,comp_7,False,bank
48,48,4.95,5.0,2.4,1.75,2.95,5.0,3.675,comp_48,False,bank
145,145,2.75,5.0,2.65,5.0,1.8,5.0,3.7,comp_145,False,bank
8,8,4.9,5.0,4.75,1.85,1.9,5.0,3.9,comp_8,False,bank
9,9,5.0,5.0,2.65,1.85,5.0,5.0,4.083333333333333,comp_9,False,bank
27,27,3.8,5.0,5.0,5.0,3.8,2.95,4.258333333333334,comp_27,False,bank
10,10,4.8,5.0,4.95,3.9,3.5,5.0,4.525,comp_10,False,bank
18,18,5.0,5.0,5.0,5.0,2.65,5.0,4.608333333333333,comp_18,False,bank
