,Unnamed: 0,customer,content,platform,ecosystem,analytics,culture,overall,name,is_public,industry
23,23,1.25,1.0,1.0,1.0,1.0,1.0,1.0416666666666667,comp_23,False,equity
42,42,1.65,3.9,1.6,1.25,1.25,1.4,1.8416666666666668,comp_42,False,equity
39,39,1.55,1.95,2.65,1.8,1.6,1.85,1.9,comp_39,False,equity
163,163,1.95,2.95,1.7,1.25,1.25,2.65,1.9583333333333337,comp_163,False,equity
57,57,2.6,2.45,1.85,1.7,1.75,1.8,2.025,comp_57,False,equity
25,25,1.85,1.85,1.7,1.5,3.65,1.65,2.0333333333333337,comp_25,False,equity
67,67,2.65,2.7,1.95,1.55,1.65,1.9,2.066666666666667,comp_67,False,equity
35,35,2.85,2.95,1.9,1.6,1.9,1.95,2.191666666666667,comp_35,False,equity
71,71,3.4,1.95,1.8,1.75,1.7,2.8,2.233333333333333,comp_71,False,equity
66,66,1.95,2.6,1.85,1.65,2.75,2.65,2.2416666666666667,comp_66,False,equity
65,65,2.95,3.8,1.95,1.5,1.45,2.5,2.358333333333333,comp_65,False,equity
63,63,2.95,2.65,2.85,1.7,1.6,2.9,2.4416666666666664,comp_63,False,equity
104,104,2.45,2.75,3.6,1.5,1.55,2.85,2.45,comp_104,False,equity
156,156,3.4,1.95,1.4,1.7,2.85,3.85,2.525,comp_156,False,equity
144,144,2.75,5.0,2.95,1.75,1.6,2.85,2.8166666666666664,comp_144,False,equity
40,40,3.6,5.0,1.9,1.85,3.95,3.9,3.3666666666666667,comp_40,False,equity
142,142,4.35,5.0,4.5,5.0,1.7,1.85,3.733333333333334,comp_142,False,equity
103,103,5.0,5.0,5.0,5.0,1.85,5.0,4.4750000000000005,comp_103,False,equity
24,24,5.0,5.0,4.9,5.0,3.95,5.0,4.808333333333334,comp_24,False,equity
