,Unnamed: 0,customer,content,platform,ecosystem,analytics,culture,overall,name,is_public,industry
151,151,1.25,1.15,1.3,1.25,1.15,1.4,1.25,comp_151,False,insurer
94,94,1.25,1.25,1.25,1.3,1.25,1.75,1.3416666666666668,comp_94,False,insurer
84,84,1.55,1.75,1.4,1.35,1.15,1.2,1.3999999999999997,comp_84,False,insurer
149,149,1.5,1.45,1.2,1.25,1.55,1.75,1.45,comp_149,False,insurer
146,146,1.6,1.5,1.35,1.75,1.8,1.45,1.575,comp_146,False,insurer
107,107,1.75,1.65,1.5,1.45,1.55,1.7,1.6,comp_107,False,insurer
155,155,2.8,1.9,1.15,1.0,1.1,1.85,1.633333333333333,comp_155,False,insurer
1,1,1.3,2.5,1.25,1.85,1.25,1.7,1.6416666666666666,comp_1,False,insurer
152,152,1.65,1.45,1.8,1.45,1.0,2.75,1.6833333333333331,comp_152,False,insurer
3,3,1.75,1.6,1.65,1.45,1.6,2.45,1.75,comp_3,False,insurer
154,154,1.7,1.85,1.85,1.15,1.15,2.85,1.7583333333333335,comp_154,False,insurer
147,147,2.8,1.7,1.3,1.3,1.7,2.75,1.925,comp_147,False,insurer
36,36,1.75,2.6,1.3,1.45,1.8,2.65,1.925,comp_36,False,insurer
75,75,1.7,3.7,1.5,1.3,1.5,1.95,1.9416666666666669,comp_75,False,insurer
150,150,3.65,1.8,1.6,1.5,1.55,2.75,2.141666666666667,comp_150,False,insurer
153,153,2.8,1.9,1.7,1.8,1.75,2.95,2.15,comp_153,False,insurer
73,73,2.75,2.85,1.8,1.8,1.5,2.8,2.25,comp_73,False,insurer
148,148,2.6,2.95,1.4,1.55,1.9,3.9,2.3833333333333337,comp_148,False,insurer
44,44,2.55,3.9,2.95,1.9,1.8,1.75,2.475,comp_44,False,insurer
52,52,2.95,3.85,1.6,3.55,1.3,1.85,2.5166666666666666,comp_52,False,insurer
38,38,2.9,3.7,1.65,3.95,2.65,4.7,3.2583333333333333,comp_38,False,insurer
51,51,2.7,5.0,3.85,2.9,2.85,2.9,3.3666666666666667,comp_51,False,insurer
20,20,2.95,3.7,2.55,3.95,2.95,5.0,3.516666666666666,comp_20,False,insurer
37,37,4.75,5.0,2.15,3.9,1.3,5.0,3.6833333333333336,comp_37,False,insurer
98,98,2.75,3.65,3.9,3.95,3.7,5.0,3.825,comp_98,False,insurer
43,43,4.65,5.0,2.65,5.0,1.35,5.0,3.941666666666667,comp_43,False,insurer
