,Unnamed: 0,customer,content,platform,ecosystem,analytics,culture,overall,name,is_public,industry
83,83,1.45,1.35,1.65,1.65,1.3,1.6,1.5,comp_83,False,other
81,81,1.9,1.85,1.55,1.3,1.35,1.85,1.633333333333333,comp_81,False,other
96,96,2.85,3.45,1.35,1.35,1.25,1.75,2.0,comp_96,False,other
50,50,3.6,2.9,1.4,1.35,1.85,2.65,2.2916666666666665,comp_50,False,other
13,13,2.9,3.65,1.75,2.95,1.55,2.65,2.575,comp_13,False,other
77,77,2.7,4.85,1.75,1.85,2.7,2.9,2.7916666666666665,comp_77,False,other
88,88,5.0,5.0,3.6,1.7,4.55,5.0,4.141666666666667,comp_88,False,other
58,58,4.95,5.0,5.0,5.0,3.9,1.95,4.3,comp_58,False,other
26,26,5.0,5.0,5.0,5.0,4.8,5.0,4.966666666666667,comp_26,False,other
79,79,5.0,5.0,5.0,5.0,5.0,5.0,5.0,comp_79,False,other
