,Unnamed: 0,customer,content,platform,ecosystem,analytics,culture,overall,name,is_public,industry
46,46,1.35,1.05,1.0,1.0,1.0,1.0,1.0666666666666669,comp_46,True,other
91,91,1.85,1.65,1.75,1.35,1.45,1.85,1.6499999999999997,comp_91,True,other
135,135,2.9,1.35,1.95,1.65,1.2,2.85,1.9833333333333327,comp_135,True,other
160,160,1.75,2.95,1.85,1.85,1.8,1.9,2.016666666666667,comp_160,True,other
55,55,2.7,3.7,1.55,1.75,1.25,1.85,2.1333333333333333,comp_55,True,other
89,89,3.6,1.9,1.9,2.55,1.4,1.95,2.2166666666666663,comp_89,True,other
99,99,3.6,1.95,3.55,1.65,1.75,1.8,2.3833333333333333,comp_99,True,other
162,162,3.95,2.95,1.85,1.8,1.9,1.95,2.4,comp_162,True,other
161,161,5.0,1.95,1.9,1.75,2.9,2.8,2.716666666666667,comp_161,True,other
33,33,2.75,1.95,4.9,1.85,1.65,4.55,2.941666666666667,comp_33,True,other
136,136,4.7,4.85,3.9,1.75,1.9,2.95,3.341666666666667,comp_136,True,other
119,119,4.9,2.9,5.0,1.85,1.9,5.0,3.591666666666667,comp_119,True,other
