,Unnamed: 0,customer,content,platform,ecosystem,analytics,culture,overall,name,is_public,industry
59,59,1.25,1.25,1.25,1.05,1.0,1.05,1.1416666666666666,comp_59,True,public_finance
87,87,1.15,1.1,1.15,1.65,1.0,1.55,1.2666666666666666,comp_87,True,public_finance
92,92,1.3,1.45,1.0,1.25,1.0,1.65,1.275,comp_92,True,public_finance
134,134,1.05,1.35,1.45,1.35,1.55,1.25,1.3333333333333333,comp_134,True,public_finance
97,97,1.45,1.2,1.25,1.65,1.75,1.65,1.4916666666666665,comp_97,True,public_finance
123,123,1.5,1.65,1.6,1.55,1.6,1.7,1.6,comp_123,True,public_finance
114,114,1.85,1.45,1.8,1.7,1.85,1.3,1.6583333333333334,comp_114,True,public_finance
22,22,2.35,2.5,1.35,1.15,1.45,1.6,1.7333333333333332,comp_22,True,public_finance
41,41,1.7,2.7,1.8,1.4,1.4,1.55,1.7583333333333335,comp_41,True,public_finance
106,106,2.85,1.9,1.75,1.8,1.4,1.7,1.9,comp_106,True,public_finance
76,76,1.95,1.35,4.4,1.4,1.35,1.6,2.0083333333333333,comp_76,True,public_finance
74,74,1.8,1.85,1.7,3.75,1.8,1.75,2.108333333333334,comp_74,True,public_finance
53,53,2.7,3.85,2.8,1.8,2.75,2.95,2.8083333333333336,comp_53,True,public_finance
159,159,2.8,5.0,2.65,1.55,1.35,3.55,2.8166666666666664,comp_159,True,public_finance
132,132,2.55,3.8,2.95,1.75,3.65,2.85,2.9250000000000003,comp_132,True,public_finance
45,45,5.0,4.9,1.9,5.0,1.6,2.7,3.516666666666667,comp_45,True,public_finance
86,86,2.65,5.0,1.95,5.0,2.75,5.0,3.725,comp_86,True,public_finance
158,158,5.0,5.0,2.95,5.0,5.0,5.0,4.658333333333333,comp_158,True,public_finance
