,Unnamed: 0,customer,content,platform,ecosystem,analytics,culture,overall,name,is_public,industry
124,124,1.7,1.55,1.65,1.55,1.5,1.8,1.625,comp_124,True,safety
32,32,1.75,1.75,1.85,1.6,1.5,1.7,1.6916666666666664,comp_32,True,safety
127,127,1.9,2.9,1.85,1.85,1.95,1.9,2.058333333333333,comp_127,True,safety
29,29,2.8,3.8,2.65,1.65,1.85,2.85,2.6,comp_29,True,safety
128,128,1.95,5.0,1.95,2.95,1.9,1.95,2.6166666666666667,comp_128,True,safety
130,130,2.7,2.85,1.55,1.8,1.95,4.9,2.625,comp_130,True,safety
129,129,2.85,2.95,1.55,1.8,3.75,4.9,2.966666666666667,comp_129,True,safety
131,131,2.9,2.75,1.6,5.0,5.0,5.0,3.7083333333333335,comp_131,True,safety
122,122,5.0,5.0,5.0,1.9,1.85,3.9,3.775,comp_122,True,safety
31,31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,comp_31,True,safety
