,Unnamed: 0,customer,content,platform,ecosystem,analytics,culture,overall,name,is_public,industry
126,126,1.65,1.75,1.45,1.1,1.6,1.85,1.5666666666666664,comp_126,True,transportation
157,157,1.95,1.7,1.65,1.55,1.1,1.5,1.575,comp_157,True,transportation
140,140,1.7,1.6,1.85,1.4,1.25,1.95,1.625,comp_140,True,transportation
80,80,1.85,1.85,1.55,1.5,1.45,1.6,1.633333333333333,comp_80,True,transportation
112,112,1.8,1.75,1.8,1.65,1.0,1.85,1.6416666666666666,comp_112,True,transportation
111,111,2.95,1.6,1.5,1.55,1.3,1.55,1.741666666666667,comp_111,True,transportation
102,102,2.9,1.6,1.6,1.35,1.65,1.85,1.825,comp_102,True,transportation
118,118,2.65,1.6,2.9,1.35,1.8,2.9,2.2,comp_118,True,transportation
100,100,2.7,1.7,2.6,1.55,1.85,4.65,2.5083333333333333,comp_100,True,transportation
17,17,3.9,2.95,4.65,1.85,1.35,1.5,2.7,comp_17,True,transportation
121,121,4.9,2.9,5.0,1.85,1.85,3.9,3.4,comp_121,True,transportation
109,109,5.0,5.0,1.85,1.9,2.75,5.0,3.583333333333333,comp_109,True,transportation
108,108,5.0,5.0,1.7,5.0,1.95,3.95,3.766666666666666,comp_108,True,transportation
