,customer,content,platform,ecosystem,analytics,culture,overall,name,is_public,industry
0,3.8,5.0,5.0,4.9,3.45,2.75,4.15,comp_0,False,card
1,1.3,2.5,1.25,1.85,1.25,1.7,1.6416666666666666,comp_1,False,insurer
2,3.9,2.95,1.9,1.75,1.75,2.65,2.4833333333333334,comp_2,False,card
3,1.75,1.6,1.65,1.45,1.6,2.45,1.75,comp_3,False,insurer
4,2.75,3.75,1.8,1.55,1.6,2.55,2.3333333333333335,comp_4,False,holdings
5,2.7,2.9,1.7,1.8,1.9,1.9,2.15,comp_5,False,card
6,3.8,4.9,1.9,3.95,1.85,2.75,3.191666666666667,comp_6,False,bank
7,2.9,3.75,1.8,4.85,2.85,4.8,3.491666666666667,comp_7,False,bank
8,4.9,5.0,4.75,1.85,1.9,5.0,3.9,comp_8,False,bank
9,5.0,5.0,2.65,1.85,5.0,5.0,4.083333333333333,comp_9,False,bank
10,4.8,5.0,4.95,3.9,3.5,5.0,4.5249999999999995,comp_10,False,bank
11,1.95,1.95,1.85,1.55,1.4,1.8,1.75,comp_11,True,welfare
12,3.85,5.0,2.8,1.75,1.85,2.75,3.0,comp_12,False,card
13,2.9,3.65,1.75,2.95,1.55,2.65,2.575,comp_13,False,other
14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,comp_14,False,holdings
15,4.75,5.0,2.9,5.0,2.95,2.95,3.9249999999999994,comp_15,False,card
16,2.65,5.0,4.85,1.2,2.5,4.7,3.483333333333333,comp_16,False,bank
17,3.9,2.95,4.65,1.85,1.35,1.5,2.6999999999999997,comp_17,True,transportation
18,5.0,5.0,5.0,5.0,2.65,5.0,4.608333333333333,comp_18,False,bank
19,4.9,5.0,5.0,5.0,5.0,5.0,4.983333333333333,comp_19,False,holdings
20,2.95,3.7,2.55,3.95,2.95,5.0,3.516666666666666,comp_20,False,insurer
21,5.0,5.0,4.7,5.0,5.0,5.0,4.95,comp_21,False,holdings
22,2.35,2.5,1.35,1.15,1.45,1.6,1.7333333333333332,comp_22,True,public_finance
23,1.25,1.0,1.0,1.0,1.0,1.0,1.0416666666666667,comp_23,False,equity
24,5.0,5.0,4.9,5.0,3.95,5.0,4.808333333333333,comp_24,False,equity
25,1.85,1.85,1.7,1.5,3.65,1.65,2.0333333333333337,comp_25,False,equity
26,5.0,5.0,5.0,5.0,4.8,5.0,4.966666666666667,comp_26,False,other
27,3.8,5.0,5.0,5.0,3.8,2.95,4.258333333333334,comp_27,False,bank
28,3.6,3.9,1.65,1.8,1.7,3.95,2.766666666666667,comp_28,False,card
29,2.8,3.8,2.65,1.65,1.85,2.85,2.6,comp_29,True,safety
30,2.8,1.95,1.6,1.8,1.85,2.95,2.158333333333333,comp_30,False,holdings
31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,comp_31,True,safety
32,1.75,1.75,1.85,1.6,1.5,1.7,1.6916666666666664,comp_32,True,safety
33,2.75,1.95,4.9,1.85,1.65,4.55,2.941666666666667,comp_33,True,other
34,5.0,5.0,5.0,5.0,2.95,5.0,4.658333333333333,comp_34,True,welfare
35,2.85,2.95,1.9,1.6,1.9,1.95,2.191666666666667,comp_35,False,equity
36,1.75,2.6,1.3,1.45,1.8,2.65,1.925,comp_36,False,insurer
37,4.75,5.0,2.15,3.9,1.3,5.0,3.6833333333333336,comp_37,False,insurer
38,2.9,3.7,1.65,3.95,2.65,4.7,3.2583333333333333,comp_38,False,insurer
39,1.55,1.95,2.65,1.8,1.6,1.85,1.9000000000000001,comp_39,False,equity
40,3.6,5.0,1.9,1.85,3.95,3.9,3.3666666666666667,comp_40,False,equity
41,1.7,2.7,1.8,1.4,1.4,1.55,1.7583333333333335,comp_41,True,public_finance
42,1.65,3.9,1.6,1.25,1.25,1.4,1.8416666666666668,comp_42,False,equity
43,4.65,5.0,2.65,5.0,1.35,5.0,3.941666666666667,comp_43,False,insurer
44,2.55,3.9,2.95,1.9,1.8,1.75,2.475,comp_44,False,insurer
45,5.0,4.9,1.9,5.0,1.6,2.7,3.516666666666667,comp_45,True,public_finance
46,1.35,1.05,1.0,1.0,1.0,1.0,1.0666666666666667,comp_46,True,other
47,1.8,1.25,1.6,1.6,1.6,1.1,1.4916666666666665,comp_47,True,welfare
48,4.95,5.0,2.4,1.75,2.95,5.0,3.6750000000000003,comp_48,False,bank
49,3.55,4.95,1.45,1.55,1.35,1.9,2.4583333333333335,comp_49,False,card
50,3.6,2.9,1.4,1.35,1.85,2.65,2.2916666666666665,comp_50,False,other
51,2.7,5.0,3.85,2.9,2.85,2.9,3.3666666666666667,comp_51,False,insurer
52,2.95,3.85,1.6,3.55,1.3,1.85,2.5166666666666666,comp_52,False,insurer
53,2.7,3.85,2.8,1.8,2.75,2.95,2.8083333333333336,comp_53,True,public_finance
54,1.9,1.95,1.6,1.45,1.45,1.65,1.6666666666666667,comp_54,False,card
55,2.7,3.7,1.55,1.75,1.25,1.85,2.1333333333333333,comp_55,True,other
56,4.4,4.7,4.85,1.95,2.9,2.95,3.625,comp_56,False,card
57,2.6,2.45,1.85,1.7,1.75,1.8,2.025,comp_57,False,equity
58,4.95,5.0,5.0,5.0,3.9,1.95,4.3,comp_58,False,other
59,1.25,1.25,1.25,1.05,1.0,1.05,1.1416666666666666,comp_59,True,public_finance
60,2.7,2.8,1.5,1.35,1.15,2.8,2.0500000000000003,comp_60,False,bank
61,2.75,2.85,2.85,4.9,1.9,4.75,3.3333333333333335,comp_61,True,welfare
62,1.85,1.7,1.25,1.2,1.7,2.55,1.7083333333333333,comp_62,False,holdings
63,2.95,2.65,2.85,1.7,1.6,2.9,2.4416666666666664,comp_63,False,equity
